player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa,cluster
Teoscar Hernández,606192,2023,61.0,58.0,79.0,80.0,27.0,92.0,88.0,81.0,90.0,9.0,13.0,3.0,82,61.0,2
Randal Grichuk,545341,2023,44.0,61.0,45.0,41.0,41.0,37.0,37.0,58.0,72.0,60.0,21.0,41.0,53,5.0,0
Brenton Doyle,686668,2023,1.0,2.0,11.0,33.0,1.0,30.0,52.0,29.0,19.0,1.0,8.0,4.0,98,99.0,3
Rafael Devers,646240,2023,94.0,87.0,96.0,93.0,87.0,92.0,84.0,95.0,98.0,67.0,61.0,45.0,18,4.0,9
Bryan Reynolds,668804,2023,84.0,86.0,86.0,77.0,78.0,87.0,72.0,75.0,82.0,54.0,47.0,32.0,61,16.0,2
Brandon Marsh,669016,2023,48.0,21.0,31.0,42.0,67.0,37.0,56.0,81.0,87.0,11.0,88.0,39.0,81,92.0,4
Amed Rosario,642708,2023,21.0,77.0,23.0,9.0,32.0,11.0,8.0,29.0,40.0,74.0,10.0,63.0,95,1.0,0
Ke'Bryan Hayes,663647,2023,44.0,77.0,57.0,45.0,29.0,50.0,39.0,93.0,85.0,63.0,10.0,72.0,43,99.0,7
J.P. Crawford,641487,2023,65.0,56.0,24.0,16.0,92.0,26.0,16.0,29.0,21.0,65.0,96.0,86.0,35,5.0,5
Mike Yastrzemski,573262,2023,49.0,19.0,46.0,67.0,55.0,32.0,62.0,63.0,67.0,25.0,84.0,60.0,40,74.0,7
Matt Vierling,663837,2023,46.0,71.0,32.0,21.0,65.0,19.0,13.0,44.0,60.0,56.0,47.0,83.0,91,58.0,0
Elvis Andrus,462101,2023,2.0,19.0,2.0,2.0,6.0,3.0,4.0,18.0,9.0,78.0,21.0,78.0,29,90.0,6
Jarred Kelenic,672284,2023,60.0,66.0,59.0,50.0,68.0,32.0,59.0,75.0,73.0,7.0,68.0,9.0,66,48.0,4
Ozzie Albies,645277,2023,69.0,71.0,77.0,74.0,52.0,77.0,48.0,37.0,37.0,85.0,33.0,74.0,54,2.0,0
Jake Burger,669394,2023,82.0,75.0,91.0,88.0,55.0,92.0,98.0,89.0,91.0,21.0,17.0,7.0,67,3.0,2
Brendan Donovan,680977,2023,79.0,91.0,57.0,35.0,89.0,17.0,25.0,50.0,49.0,91.0,56.0,96.0,42,12.0,5
Thairo Estrada,642731,2023,14.0,39.0,19.0,16.0,14.0,22.0,16.0,4.0,17.0,44.0,3.0,72.0,69,100.0,3
Miguel Rojas,500743,2023,13.0,47.0,9.0,5.0,27.0,6.0,5.0,15.0,13.0,97.0,19.0,93.0,27,91.0,6
David Peralta,444482,2023,28.0,81.0,35.0,19.0,30.0,17.0,17.0,50.0,68.0,81.0,4.0,65.0,39,24.0,0
Adam Frazier,624428,2023,18.0,61.0,15.0,8.0,42.0,7.0,6.0,3.0,2.0,89.0,33.0,84.0,31,1.0,6
Matt Chapman,656305,2023,65.0,18.0,73.0,84.0,50.0,95.0,98.0,98.0,100.0,16.0,78.0,18.0,80,87.0,1
Riley Greene,682985,2023,87.0,92.0,87.0,75.0,79.0,54.0,74.0,85.0,82.0,21.0,49.0,32.0,71,64.0,2
Ha-Seong Kim,673490,2023,32.0,33.0,13.0,12.0,68.0,22.0,11.0,7.0,3.0,63.0,86.0,91.0,79,96.0,6
Luis Rengifo,650859,2023,46.0,35.0,34.0,39.0,53.0,37.0,40.0,44.0,25.0,73.0,59.0,53.0,50,3.0,0
Brice Turang,668930,2023,5.0,14.0,4.0,7.0,12.0,4.0,5.0,2.0,4.0,58.0,52.0,71.0,96,69.0,3
Paul Goldschmidt,502671,2023,89.0,74.0,85.0,82.0,88.0,89.0,78.0,81.0,93.0,37.0,89.0,37.0,27,82.0,2
Zach McKinstry,656716,2023,30.0,36.0,29.0,32.0,38.0,45.0,40.0,14.0,16.0,52.0,52.0,75.0,80,85.0,7
Nathaniel Lowe,663993,2023,64.0,61.0,37.0,28.0,86.0,54.0,30.0,59.0,53.0,43.0,90.0,74.0,49,81.0,5
Nolan Gorman,669357,2023,82.0,26.0,90.0,95.0,59.0,81.0,97.0,77.0,86.0,6.0,83.0,5.0,30,24.0,1
Jace Peterson,607054,2023,9.0,5.0,5.0,13.0,25.0,9.0,14.0,3.0,6.0,37.0,80.0,52.0,67,62.0,3
CJ Abrams,682928,2023,23.0,41.0,34.0,37.0,19.0,58.0,35.0,16.0,20.0,67.0,9.0,67.0,82,4.0,0
Mike Tauchman,643565,2023,71.0,71.0,33.0,23.0,94.0,11.0,22.0,33.0,45.0,55.0,94.0,53.0,49,55.0,5
Ketel Marte,606466,2023,69.0,71.0,51.0,41.0,81.0,68.0,46.0,77.0,60.0,82.0,80.0,75.0,54,41.0,5
J.D. Davis,605204,2023,48.0,30.0,43.0,49.0,48.0,61.0,60.0,77.0,72.0,19.0,61.0,9.0,14,90.0,4
Randy Arozarena,668227,2023,79.0,32.0,61.0,68.0,86.0,87.0,82.0,86.0,85.0,35.0,87.0,26.0,78,10.0,1
Bryson Stott,681082,2023,26.0,74.0,25.0,13.0,43.0,32.0,14.0,25.0,19.0,87.0,19.0,95.0,88,99.0,6
Wilmer Flores,527038,2023,61.0,56.0,61.0,61.0,60.0,45.0,43.0,8.0,13.0,93.0,57.0,94.0,4,28.0,5
Anthony Volpe,683011,2023,26.0,18.0,30.0,44.0,20.0,63.0,55.0,37.0,61.0,19.0,54.0,33.0,79,69.0,4
Kyle Tucker,663656,2023,95.0,93.0,93.0,89.0,94.0,89.0,68.0,68.0,75.0,94.0,85.0,86.0,32,13.0,9
Matt Olson,621566,2023,96.0,66.0,97.0,98.0,93.0,100.0,96.0,99.0,99.0,40.0,95.0,30.0,22,17.0,9
Ramón Urías,602104,2023,8.0,12.0,8.0,11.0,11.0,22.0,35.0,49.0,32.0,29.0,30.0,28.0,34,4.0,8
Christian Walker,572233,2023,69.0,44.0,74.0,78.0,55.0,91.0,75.0,23.0,47.0,67.0,61.0,42.0,26,97.0,7
Christian Yelich,592885,2023,82.0,86.0,69.0,55.0,91.0,70.0,58.0,86.0,93.0,49.0,87.0,40.0,70,85.0,2
Ji Hwan Bae,678225,2023,1.0,14.0,1.0,1.0,11.0,1.0,2.0,25.0,25.0,32.0,44.0,55.0,97,56.0,3
Ty France,664034,2023,65.0,71.0,44.0,33.0,80.0,61.0,34.0,18.0,35.0,77.0,24.0,69.0,7,36.0,5
Anthony Rizzo,519203,2023,39.0,35.0,30.0,33.0,55.0,25.0,35.0,63.0,28.0,42.0,47.0,48.0,4,92.0,7
Starling Marte,516782,2023,34.0,66.0,40.0,29.0,35.0,11.0,23.0,28.0,41.0,61.0,4.0,38.0,44,9.0,0
Michael Conforto,624424,2023,55.0,35.0,44.0,50.0,73.0,37.0,44.0,40.0,43.0,44.0,82.0,50.0,21,23.0,5
Chris Taylor,621035,2023,33.0,12.0,40.0,60.0,34.0,29.0,62.0,7.0,28.0,5.0,78.0,3.0,74,26.0,4
Max Kepler,596146,2023,87.0,77.0,89.0,85.0,76.0,77.0,79.0,89.0,83.0,54.0,59.0,79.0,52,87.0,2
Alec Bohm,664761,2023,69.0,92.0,69.0,44.0,73.0,45.0,23.0,52.0,55.0,88.0,32.0,89.0,31,11.0,5
DJ LeMahieu,518934,2023,42.0,49.0,27.0,23.0,66.0,30.0,26.0,57.0,61.0,49.0,78.0,81.0,12,68.0,5
Jurickson Profar,595777,2023,23.0,36.0,9.0,8.0,54.0,15.0,10.0,9.0,12.0,80.0,64.0,78.0,13,1.0,6
Luis García,671277,2023,26.0,64.0,38.0,28.0,20.0,32.0,25.0,29.0,23.0,96.0,13.0,90.0,47,15.0,0
Jeff McNeil,643446,2023,11.0,37.0,6.0,4.0,32.0,2.0,2.0,5.0,5.0,99.0,18.0,98.0,51,82.0,6
Alex Bregman,608324,2023,75.0,64.0,50.0,43.0,88.0,50.0,21.0,36.0,33.0,96.0,89.0,98.0,24,74.0,5
Elly De La Cruz,682829,2023,19.0,26.0,28.0,35.0,21.0,29.0,51.0,79.0,75.0,3.0,46.0,23.0,100,86.0,4
Aledmys Díaz,649557,2023,3.0,23.0,5.0,6.0,8.0,2.0,4.0,20.0,16.0,67.0,6.0,67.0,18,20.0,8
Trent Grisham,663757,2023,49.0,9.0,37.0,61.0,62.0,70.0,77.0,69.0,45.0,20.0,92.0,31.0,59,93.0,1
Ian Happ,664023,2023,75.0,47.0,49.0,50.0,89.0,73.0,55.0,60.0,37.0,51.0,95.0,47.0,61,6.0,5
Lars Nootbaar,663457,2023,81.0,66.0,60.0,52.0,91.0,50.0,53.0,44.0,30.0,64.0,95.0,88.0,62,81.0,5
Mookie Betts,605141,2023,98.0,96.0,98.0,96.0,97.0,95.0,82.0,94.0,86.0,88.0,93.0,92.0,47,16.0,9
Carlos Correa,621043,2023,54.0,44.0,45.0,47.0,62.0,68.0,60.0,70.0,75.0,44.0,72.0,47.0,33,64.0,7
Kyle Schwarber,656941,2023,88.0,9.0,84.0,95.0,88.0,96.0,96.0,94.0,88.0,12.0,99.0,16.0,6,1.0,1
Jorge Mateo,622761,2023,13.0,29.0,21.0,22.0,9.0,9.0,20.0,33.0,35.0,37.0,23.0,36.0,99,35.0,3
Brandon Nimmo,607043,2023,81.0,70.0,70.0,67.0,83.0,81.0,59.0,87.0,83.0,55.0,80.0,68.0,66,72.0,2
Juan Soto,665742,2023,97.0,89.0,95.0,93.0,99.0,92.0,85.0,96.0,99.0,74.0,100.0,75.0,37,3.0,9
Vladimir Guerrero Jr.,665489,2023,93.0,95.0,88.0,74.0,91.0,91.0,72.0,91.0,89.0,90.0,67.0,63.0,27,1.0,9
Jake Meyers,676694,2023,9.0,6.0,13.0,31.0,6.0,11.0,30.0,5.0,5.0,26.0,39.0,40.0,92,96.0,3
Jeremy Peña,665161,2023,19.0,52.0,16.0,10.0,38.0,22.0,10.0,23.0,20.0,61.0,30.0,31.0,96,83.0,3
George Springer,543807,2023,58.0,64.0,45.0,40.0,65.0,70.0,42.0,29.0,44.0,73.0,54.0,67.0,62,69.0,7
Fernando Tatis Jr.,665487,2023,90.0,89.0,91.0,85.0,78.0,86.0,70.0,89.0,89.0,49.0,47.0,20.0,94,94.0,2
Kerry Carpenter,681481,2023,65.0,58.0,74.0,74.0,51.0,58.0,65.0,65.0,67.0,29.0,33.0,39.0,70,23.0,0
Bobby Witt Jr.,677951,2023,92.0,96.0,95.0,88.0,73.0,96.0,76.0,74.0,73.0,79.0,16.0,64.0,100,98.0,2
Luke Raley,670042,2023,54.0,15.0,63.0,80.0,32.0,54.0,84.0,77.0,74.0,7.0,32.0,1.0,87,39.0,4
Josh Lowe,666139,2023,69.0,86.0,82.0,72.0,48.0,70.0,70.0,44.0,42.0,32.0,21.0,20.0,86,31.0,0
Anthony Santander,623993,2023,37.0,24.0,49.0,65.0,27.0,84.0,65.0,73.0,77.0,40.0,49.0,61.0,33,33.0,7
Gabriel Arias,672356,2023,21.0,16.0,38.0,55.0,11.0,26.0,63.0,77.0,77.0,4.0,44.0,1.0,69,87.0,4
Josh Jung,673962,2023,61.0,56.0,81.0,82.0,25.0,73.0,77.0,87.0,82.0,14.0,16.0,23.0,36,88.0,2
José Ramírez,608070,2023,84.0,96.0,82.0,61.0,92.0,70.0,37.0,63.0,47.0,98.0,77.0,94.0,62,90.0,5
Steven Kwan,680757,2023,37.0,89.0,13.0,1.0,82.0,2.0,1.0,5.0,1.0,98.0,65.0,100.0,69,95.0,6
Adam Duvall,594807,2023,23.0,4.0,65.0,86.0,3.0,48.0,85.0,39.0,39.0,9.0,21.0,18.0,57,20.0,4
Alek Thomas,677950,2023,11.0,42.0,18.0,14.0,12.0,15.0,18.0,40.0,53.0,55.0,4.0,48.0,85,90.0,3
Ryan Mountcastle,663624,2023,81.0,81.0,89.0,84.0,62.0,73.0,79.0,83.0,70.0,43.0,41.0,31.0,73,42.0,2
Lane Thomas,657041,2023,39.0,52.0,57.0,59.0,21.0,82.0,60.0,35.0,50.0,26.0,10.0,63.0,94,21.0,0
Jesús Sánchez,660821,2023,80.0,75.0,81.0,75.0,75.0,58.0,79.0,70.0,77.0,23.0,61.0,22.0,54,65.0,2
Julio Rodríguez,677594,2023,73.0,85.0,79.0,70.0,62.0,92.0,77.0,95.0,95.0,33.0,26.0,32.0,96,97.0,2
Edouard Julien,666397,2023,75.0,23.0,55.0,70.0,84.0,48.0,86.0,55.0,70.0,8.0,98.0,26.0,41,58.0,1
Willy Adames,642715,2023,68.0,32.0,66.0,72.0,65.0,87.0,82.0,16.0,23.0,26.0,82.0,18.0,55,99.0,1
Nick Castellanos,592206,2023,46.0,60.0,67.0,65.0,18.0,85.0,66.0,40.0,63.0,21.0,12.0,5.0,44,7.0,8
Bryan De La Cruz,650559,2023,55.0,79.0,63.0,49.0,43.0,73.0,53.0,60.0,59.0,44.0,24.0,28.0,60,6.0,0
Pete Alonso,624413,2023,91.0,35.0,93.0,97.0,77.0,97.0,91.0,55.0,46.0,42.0,68.0,43.0,18,45.0,1
Matt McLain,680574,2023,58.0,55.0,60.0,60.0,52.0,45.0,70.0,50.0,59.0,16.0,39.0,35.0,90,79.0,7
Francisco Lindor,596019,2023,71.0,51.0,71.0,73.0,70.0,87.0,67.0,79.0,65.0,62.0,64.0,64.0,71,90.0,2
Yandy Díaz,650490,2023,95.0,98.0,82.0,58.0,96.0,77.0,59.0,98.0,97.0,86.0,79.0,86.0,32,8.0,9
Tim Anderson,641313,2023,8.0,44.0,6.0,2.0,13.0,7.0,5.0,20.0,40.0,38.0,7.0,47.0,46,31.0,8
Corey Seager,608369,2023,98.0,99.0,98.0,98.0,95.0,95.0,92.0,96.0,96.0,84.0,58.0,48.0,23,25.0,9
Orlando Arcia,606115,2023,26.0,37.0,34.0,37.0,23.0,45.0,35.0,28.0,52.0,69.0,37.0,55.0,16,88.0,7
Yoán Moncada,660162,2023,35.0,60.0,53.0,47.0,21.0,32.0,64.0,52.0,37.0,12.0,13.0,19.0,28,40.0,8
Jon Berti,542932,2023,46.0,87.0,40.0,16.0,60.0,15.0,14.0,2.0,10.0,74.0,30.0,79.0,95,89.0,6
