"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","hard_hit_percent","k_percent","bb_percent","whiff_percent","sprint_speed","oaa"
"Teoscar Hernández","606192","2023",61,58,79,80,27,92,88,81,90,9,13,3,82,61
"Stone Garrett","656448","2023",,,,,,,,,,,,,79,
"Miguel Amaya","665804","2023",,,,,,,,,,,,,19,
"Dylan Moore","664238","2023",,,,,,,,,,,,,58,
"Enmanuel Valdez","665839","2023",,,,,,,,,,,,,28,
"Nick Madrigal","663611","2023",,,,,,,,,,,,,64,96
"Tommy Pham","502054","2023",85,89,79,67,83,66,69,93,89,51,67,60,60,
"Randal Grichuk","545341","2023",44,61,45,41,41,37,37,58,72,60,21,41,53,5
"Bryce Harper","547180","2023",96,92,93,88,98,89,92,87,81,52,96,11,54,
"Kris Bryant","592178","2023",,,,,,,,,,,,,28,
"Blake Sabol","666165","2023",9,1,19,50,2,30,74,44,35,2,33,5,52,
"Kody Clemens","665019","2023",,,,,,,,,,,,,56,
"Kyle Higashioka","543309","2023",,,,,,,,,,,,,12,
"Brenton Doyle","686668","2023",1,2,11,33,1,30,52,29,19,1,8,4,98,99
"Rafael Devers","646240","2023",94,87,96,93,87,92,84,95,98,67,61,45,18,4
"Joey Bart","663698","2023",,,,,,,,,,,,,24,
"Trey Mancini","641820","2023",,,,,,,,,,,,,10,
"Byron Buxton","621439","2023",42,6,55,80,23,50,90,84,74,8,71,19,94,
"Bryan Reynolds","668804","2023",84,86,86,77,78,87,72,75,82,54,47,32,61,16
"Billy McKinney","641856","2023",,,,,,,,,,,,,43,
"Kyle Isbel","664728","2023",,,,,,,,,,,,,55,96
"David Fletcher","664058","2023",,,,,,,,,,,,,23,
"Evan Longoria","446334","2023",,,,,,,,,,,,,22,
"Brandon Marsh","669016","2023",48,21,31,42,67,37,56,81,87,11,88,39,81,92
"Amed Rosario","642708","2023",21,77,23,9,32,11,8,29,40,74,10,63,95,1
"Austin Hedges","595978","2023",,,,,,,,,,,,,4,
"Riley Adams","656180","2023",,,,,,,,,,,,,23,
"Rafael Ortega","542364","2023",,,,,,,,,,,,,46,
"Omar Narváez","553882","2023",,,,,,,,,,,,,3,
"Brayan Rocchio","677587","2023",,,,,,,,,,,,,52,
"Ke'Bryan Hayes","663647","2023",44,77,57,45,29,50,39,93,85,63,10,72,43,99
"Jonah Heim","641680","2023",49,52,60,61,38,50,46,49,35,67,42,66,15,
"J.P. Crawford","641487","2023",65,56,24,16,92,26,16,29,21,65,96,86,35,5
"Vinnie Pasquantino","686469","2023",,,,,,,,,,,,,15,
"Luis Campusano","669134","2023",,,,,,,,,,,,,14,
"Austin Wynns","642851","2023",,,,,,,,,,,,,5,
"Christopher Morel","666624","2023",73,41,88,91,35,77,95,91,92,10,49,2,81,
"Mike Yastrzemski","573262","2023",49,19,46,67,55,32,62,63,67,25,84,60,40,74
"Matt Vierling","663837","2023",46,71,32,21,65,19,13,44,60,56,47,83,91,58
"Jake Cave","595909","2023",,,,,,,,,,,,,57,
"Justin Turner","457759","2023",61,60,67,64,58,42,23,55,37,77,44,91,9,
"Christian Bethancourt","542194","2023",,,,,,,,,,,,,52,
"Elvis Andrus","462101","2023",2,19,2,2,6,3,4,18,9,78,21,78,29,90
"Danny Jansen","643376","2023",,,,,,,,,,,,,44,
"Jarred Kelenic","672284","2023",60,66,59,50,68,32,59,75,73,7,68,9,66,48
"Ozzie Albies","645277","2023",69,71,77,74,52,77,48,37,37,85,33,74,54,2
"Jake Burger","669394","2023",82,75,91,88,55,92,98,89,91,21,17,7,67,3
"Jacob Stallings","607732","2023",,,,,,,,,,,,,2,
"Miguel Cabrera","408234","2023",16,28,12,12,29,7,11,44,29,61,49,46,1,
"Andrew Velazquez","623205","2023",,,,,,,,,,,,,77,
"Nick Martini","605361","2023",,,,,,,,,,,,,45,
"Davis Schneider","676914","2023",,,,,,,,,,,,,52,
"Jacob Young","696285","2023",,,,,,,,,,,,,98,
"Jesús Aguilar","542583","2023",,,,,,,,,,,,,1,
"Royce Lewis","668904","2023",,,,,,,,,,,,,73,
"Brendan Donovan","680977","2023",79,91,57,35,89,17,25,50,49,91,56,96,42,12
"Will Smith","669257","2023",79,63,57,52,89,42,32,50,53,86,83,82,45,
"Kevin Smith","675656","2023",,,,,,,,,,,,,50,
"Martín Maldonado","455117","2023",2,1,14,54,1,26,51,33,45,2,37,7,1,
"DJ Stewart","621466","2023",,,,,,,,,,,,,25,
"Jonathan Davis","641505","2023",,,,,,,,,,,,,89,
"Thairo Estrada","642731","2023",14,39,19,16,14,22,16,4,17,44,3,72,69,100
"Jason Delay","641511","2023",,,,,,,,,,,,,29,
"Miguel Rojas","500743","2023",13,47,9,5,27,6,5,15,13,97,19,93,27,91
"Brandon Belt","474832","2023",64,4,61,83,62,54,91,37,45,1,97,12,23,
"AJ Pollock","572041","2023",,,,,,,,,,,,,87,
"David Peralta","444482","2023",28,81,35,19,30,17,17,50,68,81,4,65,39,24
"Adam Frazier","624428","2023",18,61,15,8,42,7,6,3,2,89,33,84,31,1
"Matt Chapman","656305","2023",65,18,73,84,50,95,98,98,100,16,78,18,80,87
"David Villar","681584","2023",,,,,,,,,,,,,17,
"Corey Julks","667452","2023",,,,,,,,,,,,,77,
"Nick Senzel","669222","2023",,,,,,,,,,,,,75,3
"Riley Greene","682985","2023",87,92,87,75,79,54,74,85,82,21,49,32,71,64
"Ronny Mauricio","677595","2023",,,,,,,,,,,,,60,
"Sam Haggerty","664059","2023",,,,,,,,,,,,,93,
"Connor Wong","657136","2023",4,2,16,37,1,30,56,44,30,4,12,12,76,
"Ha-Seong Kim","673490","2023",32,33,13,12,68,22,11,7,3,63,86,91,79,96
"Luis Rengifo","650859","2023",46,35,34,39,53,37,40,44,25,73,59,53,50,3
"Eduardo Escobar","500871","2023",,,,,,,,,,,,,42,6
"Noelvi Marte","682622","2023",,,,,,,,,,,,,91,
"Brice Turang","668930","2023",5,14,4,7,12,4,5,2,4,58,52,71,96,69
"Paul Goldschmidt","502671","2023",89,74,85,82,88,89,78,81,93,37,89,37,27,82
"Zach McKinstry","656716","2023",30,36,29,32,38,45,40,14,16,52,52,75,80,85
"Nathaniel Lowe","663993","2023",64,61,37,28,86,54,30,59,53,43,90,74,49,81
"Nolan Gorman","669357","2023",82,26,90,95,59,81,97,77,86,6,83,5,30,24
"Salvador Perez","521692","2023",49,70,74,68,21,67,53,65,67,38,1,20,3,
"Jace Peterson","607054","2023",9,5,5,13,25,9,14,3,6,37,80,52,67,62
"Ryan McKenna","663630","2023",,,,,,,,,,,,,85,
"Jose Barrero","676480","2023",,,,,,,,,,,,,56,
"CJ Abrams","682928","2023",23,41,34,37,19,58,35,16,20,67,9,67,82,4
"Mike Tauchman","643565","2023",71,71,33,23,94,11,22,33,45,55,94,53,49,55
"Ketel Marte","606466","2023",69,71,51,41,81,68,46,77,60,82,80,75,54,41
"Keibert Ruiz","660688","2023",44,81,47,35,43,45,25,16,12,99,12,97,9,
"J.D. Davis","605204","2023",48,30,43,49,48,61,60,77,72,19,61,9,14,90
"Randy Arozarena","668227","2023",79,32,61,68,86,87,82,86,85,35,87,26,78,10
"Bryson Stott","681082","2023",26,74,25,13,43,32,14,25,19,87,19,95,88,99
"Corey Dickerson","572816","2023",,,,,,,,,,,,,32,
"Jonathan Schoop","570731","2023",,,,,,,,,,,,,38,
"Wilmer Flores","527038","2023",61,56,61,61,60,45,43,8,13,93,57,94,4,28
"Nick Maton","665155","2023",,,,,,,,,,,,,47,2
"Tyler Nevin","663527","2023",,,,,,,,,,,,,13,
"Anthony Volpe","683011","2023",26,18,30,44,20,63,55,37,61,19,54,33,79,69
"Aaron Judge","592450","2023",100,95,100,100,100,98,100,100,100,16,100,2,33,
"Aaron Hicks","543305","2023",,,,,,,,,,,,,50,25
"Garrett Cooper","643265","2023",37,44,54,59,21,54,66,42,52,14,30,19,25,
"Nick Gordon","624503","2023",,,,,,,,,,,,,50,
"Luke Maile","571912","2023",,,,,,,,,,,,,17,
"Kyle Tucker","663656","2023",95,93,93,89,94,89,68,68,75,94,85,86,32,13
"Christian Vázquez","543877","2023",1,11,2,7,4,3,7,11,14,41,33,43,8,
"Zach Remillard","621545","2023",,,,,,,,,,,,,78,62
"Josh H. Smith","669701","2023",,,,,,,,,,,,,79,17
"Alika Williams","675961","2023",,,,,,,,,,,,,73,
"Matt Olson","621566","2023",96,66,97,98,93,100,96,99,99,40,95,30,22,17
"Jackie Bradley Jr.","598265","2023",,,,,,,,,,,,,43,
"Ramón Urías","602104","2023",8,12,8,11,11,22,35,49,32,29,30,28,34,4
"Luis Urías","649966","2023",,,,,,,,,,,,,19,
"Christian Walker","572233","2023",69,44,74,78,55,91,75,23,47,67,61,42,26,97
"Christian Yelich","592885","2023",82,86,69,55,91,70,58,86,93,49,87,40,70,85
"Miguel Vargas","678246","2023",,,,,,,,,,,,,63,7
"Ji Hwan Bae","678225","2023",1,14,1,1,11,1,2,25,25,32,44,55,97,56
"Ty France","664034","2023",65,71,44,33,80,61,34,18,35,77,24,69,7,36
"Anthony Rizzo","519203","2023",39,35,30,33,55,25,35,63,28,42,47,48,4,92
"Starling Marte","516782","2023",34,66,40,29,35,11,23,28,41,61,4,38,44,9
"Yordan Alvarez","670541","2023",99,97,99,99,99,92,99,96,96,72,93,66,19,
"Michael Conforto","624424","2023",55,35,44,50,73,37,44,40,43,44,82,50,21,23
"Chris Taylor","621035","2023",33,12,40,60,34,29,62,7,28,5,78,3,74,26
"Will Benson","666181","2023",,,,,,,,,,,,,88,25
"Luis Guillorme","641645","2023",,,,,,,,,,,,,11,
"Garrett Hampson","641658","2023",,,,,,,,,,,,,98,26
"Max Kepler","596146","2023",87,77,89,85,76,77,79,89,83,54,59,79,52,87
"Willson Contreras","575929","2023",93,87,86,77,92,73,79,81,81,46,74,27,35,
"Jared Walsh","665120","2023",,,,,,,,,,,,,24,
"Mitch Haniger","571745","2023",,,,,,,,,,,,,33,
"Alec Bohm","664761","2023",69,92,69,44,73,45,23,52,55,88,32,89,31,11
"DJ LeMahieu","518934","2023",42,49,27,23,66,30,26,57,61,49,78,81,12,68
"Jurickson Profar","595777","2023",23,36,9,8,54,15,10,9,12,80,64,78,13,1
"Luis García","671277","2023",26,64,38,28,20,32,25,29,23,96,13,90,47,15
"Christian Encarnacion-Strand","687952","2023",,,,,,,,,,,,,55,
"Jeff McNeil","643446","2023",11,37,6,4,32,2,2,5,5,99,18,98,51,82
"Pavin Smith","656976","2023",,,,,,,,,,,,,21,
"Alex Bregman","608324","2023",75,64,50,43,88,50,21,36,33,96,89,98,24,74
"Elly De La Cruz","682829","2023",19,26,28,35,21,29,51,79,75,3,46,23,100,86
"José Caballero","676609","2023",,,,,,,,,,,,,90,94
"Carter Kieboom","666198","2023",,,,,,,,,,,,,28,
"Vaughn Grissom","687093","2023",,,,,,,,,,,,,44,
"Aledmys Díaz","649557","2023",3,23,5,6,8,2,4,20,16,67,6,67,18,20
"Henry Davis","680779","2023",,,,,,,,,,,,,72,
"Francisco Mejía","642336","2023",,,,,,,,,,,,,22,
"Brett Sullivan","664954","2023",,,,,,,,,,,,,50,
"Trent Grisham","663757","2023",49,9,37,61,62,70,77,69,45,20,92,31,59,93
"Ian Happ","664023","2023",75,47,49,50,89,73,55,60,37,51,95,47,61,6
"Austin Barnes","605131","2023",,,,,,,,,,,,,29,
"Lars Nootbaar","663457","2023",81,66,60,52,91,50,53,44,30,64,95,88,62,81
"Oswaldo Cabrera","665828","2023",,,,,,,,,,,,,62,29
"Casey Schmitt","669477","2023",,,,,,,,,,,,,66,23
"Alex Kirilloff","666135","2023",,,,,,,,,,,,,48,5
"Mookie Betts","605141","2023",98,96,98,96,97,95,82,94,86,88,93,92,47,16
"Vidal Bruján","660644","2023",,,,,,,,,,,,,36,
"Carlos Correa","621043","2023",54,44,45,47,62,68,60,70,75,44,72,47,33,64
"Nolan Schanuel","694384","2023",,,,,,,,,,,,,37,
"Kyle Schwarber","656941","2023",88,9,84,95,88,96,96,94,88,12,99,16,6,1
"Marcell Ozuna","542303","2023",97,91,98,98,84,98,98,87,88,44,64,41,28,
"William Contreras","661388","2023",61,51,56,60,67,73,58,81,87,60,74,35,30,
"Jorge Mateo","622761","2023",13,29,21,22,9,9,20,33,35,37,23,36,99,35
"Jake Marisnick","545350","2023",,,,,,,,,,,,,87,
"Jake Rogers","668670","2023",49,18,71,83,15,42,78,70,73,5,39,15,46,
"Gabriel Moreno","672515","2023",33,66,26,14,51,9,16,59,56,64,39,81,49,
"Brandon Nimmo","607043","2023",81,70,70,67,83,81,59,87,83,55,80,68,66,72
"Juan Soto","665742","2023",97,89,95,93,99,92,85,96,99,74,100,75,37,3
"Vladimir Guerrero Jr.","665489","2023",93,95,88,74,91,91,72,91,89,90,67,63,27,1
"Jake Meyers","676694","2023",9,6,13,31,6,11,30,5,5,26,39,40,92,96
"Jeremy Peña","665161","2023",19,52,16,10,38,22,10,23,20,61,30,31,96,83
"Tyler O'Neill","641933","2023",,,,,,,,,,,,,80,
"Richie Palacios","680700","2023",,,,,,,,,,,,,68,
"Ji Man Choi","596847","2023",,,,,,,,,,,,,7,
"Brendan Rodgers","663898","2023",,,,,,,,,,,,,26,
"Yasmani Grandal","518735","2023",7,7,4,10,14,9,14,22,18,56,56,50,1,
"Tom Murphy","608596","2023",,,,,,,,,,,,,21,
"Matt Wallner","670242","2023",,,,,,,,,,,,,67,
"George Springer","543807","2023",58,64,45,40,65,70,42,29,44,73,54,67,62,69
"Fernando Tatis Jr.","665487","2023",90,89,91,85,78,86,70,89,89,49,47,20,94,94
"Kerry Carpenter","681481","2023",65,58,74,74,51,58,65,65,67,29,33,39,70,23
"Wil Myers","571976","2023",,,,,,,,,,,,,64,
"Eric Hosmer","543333","2023",,,,,,,,,,,,,7,
"Bobby Witt Jr.","677951","2023",92,96,95,88,73,96,76,74,73,79,16,64,100,98
"Jonathan Aranda","666018","2023",,,,,,,,,,,,,21,
"Luke Raley","670042","2023",54,15,63,80,32,54,84,77,74,7,32,1,87,39
"Brent Rooker","667670","2023",75,26,83,89,51,85,93,85,91,4,60,1,41,
"Trevor Larnach","663616","2023",,,,,,,,,,,,,33,
"Josh Lowe","666139","2023",69,86,82,72,48,70,70,44,42,32,21,20,86,31
"Anthony Santander","623993","2023",37,24,49,65,27,84,65,73,77,40,49,61,33,33
"Gabriel Arias","672356","2023",21,16,38,55,11,26,63,77,77,4,44,1,69,87
"Mark Vientos","668901","2023",,,,,,,,,,,,,25,
"Josh Jung","673962","2023",61,56,81,82,25,73,77,87,82,14,16,23,36,88
"Yainer Diaz","673237","2023",88,92,96,94,35,66,79,69,65,65,1,37,56,
"Jose Trevino","624431","2023",,,,,,,,,,,,,3,
"José Ramírez","608070","2023",84,96,82,61,92,70,37,63,47,98,77,94,62,90
"Steven Kwan","680757","2023",37,89,13,1,82,2,1,5,1,98,65,100,69,95
"Adam Duvall","594807","2023",23,4,65,86,3,48,85,39,39,9,21,18,57,20
"Cade Marlowe","687799","2023",,,,,,,,,,,,,88,
"Lenyn Sosa","672820","2023",,,,,,,,,,,,,57,41
"Dominic Fletcher","666150","2023",,,,,,,,,,,,,30,
"Alek Thomas","677950","2023",11,42,18,14,12,15,18,40,53,55,4,48,85,90
"Luken Baker","663609","2023",,,,,,,,,,,,,5,
"Ryan Mountcastle","663624","2023",81,81,89,84,62,73,79,83,70,43,41,31,73,42
"Josh Bell","605137","2023",73,66,73,68,75,81,64,65,61,53,72,46,17,
"Lane Thomas","657041","2023",39,52,57,59,21,82,60,35,50,26,10,63,94,21
"Jesús Sánchez","660821","2023",80,75,81,75,75,58,79,70,77,23,61,22,54,65
"Cam Gallagher","595956","2023",,,,,,,,,,,,,10,
"Travis d'Arnaud","518595","2023",,,,,,,,,,,,,21,
"Owen Miller","680911","2023",,,,,,,,,,,,,90,94
"Julio Rodríguez","677594","2023",73,85,79,70,62,92,77,95,95,33,26,32,96,97
"Tyler Freeman","671289","2023",,,,,,,,,,,,,82,28
"Dominic Canzone","686527","2023",,,,,,,,,,,,,34,
"Garrett Stubbs","596117","2023",,,,,,,,,,,,,71,
"Edouard Julien","666397","2023",75,23,55,70,84,48,86,55,70,8,98,26,41,58
"Giancarlo Stanton","519317","2023",54,9,76,91,19,73,94,96,86,12,68,7,4,
"Raimel Tapia","606132","2023",,,,,,,,,,,,,83,
"Christian Arroyo","624414","2023",,,,,,,,,,,,,59,24
"Michael Stefanic","683021","2023",,,,,,,,,,,,,18,
"Willy Adames","642715","2023",68,32,66,72,65,87,82,16,23,26,82,18,55,99
"Joey Gallo","608336","2023",,,,,,,,,,,,,31,41
"Victor Caratini","605170","2023",,,,,,,,,,,,,7,
"Nick Castellanos","592206","2023",46,60,67,65,18,85,66,40,63,21,12,5,44,7
"Endy Rodríguez","682848","2023",,,,,,,,,,,,,61,
"Charlie Blackmon","453568","2023",65,75,41,25,84,15,17,8,11,95,61,81,54,
"Alan Trejo","676701","2023",,,,,,,,,,,,,28,75
"Bryan De La Cruz","650559","2023",55,79,63,49,43,73,53,60,59,44,24,28,60,6
"Eric Haase","606992","2023",,,,,,,,,,,,,68,
"Jon Singleton","572138","2023",,,,,,,,,,,,,19,
"Daniel Vogelbach","596129","2023",,,,,,,,,,,,,2,
"Francisco Alvarez","682626","2023",23,2,47,78,6,66,84,65,72,25,42,15,26,
"Pete Alonso","624413","2023",91,35,93,97,77,97,91,55,46,42,68,43,18,45
"Yan Gomes","543228","2023",35,58,34,29,35,37,43,16,22,67,7,56,22,
"Matt McLain","680574","2023",58,55,60,60,52,45,70,50,59,16,39,35,90,79
"Manuel Margot","622534","2023",,,,,,,,,,,,,75,80
"Francisco Lindor","596019","2023",71,51,71,73,70,87,67,79,65,62,64,64,71,90
"Tyler Soderstrom","691016","2023",,,,,,,,,,,,,13,
"Jake Alu","666906","2023",,,,,,,,,,,,,70,
"Yandy Díaz","650490","2023",95,98,82,58,96,77,59,98,97,86,79,86,32,8
"Tim Anderson","641313","2023",8,44,6,2,13,7,5,20,40,38,7,47,46,31
"Edward Olivares","658668","2023",68,81,71,63,54,32,44,15,30,83,15,64,83,
"Corey Seager","608369","2023",98,99,98,98,95,95,92,96,96,84,58,48,23,25
"Orlando Arcia","606115","2023",26,37,34,37,23,45,35,28,52,69,37,55,16,88
"Alejandro Kirk","672386","2023",35,42,24,21,62,19,19,19,33,98,70,99,2,
"Logan O'Hoppe","681351","2023",,,,,,,,,,,,,63,
"Yoán Moncada","660162","2023",35,60,53,47,21,32,64,52,37,12,13,19,28,40
"Patrick Wisdom","621550","2023",,,,,,,,,,,,,58,5
"Andruw Monasterio","655316","2023",,,,,,,,,,,,,67,40
"Jon Berti","542932","2023",46,87,40,16,60,15,14,2,10,74,30,79,95,89
"Brandon Lowe","664040","2023",68,20,68,81,59,48,69,83,83,22,84,14,51,86
"Mike Moustakas","519058","2023",2,5,10,25,2,15,23,42,31,32,18,39,9,19
"Victor Robles","645302","2023",,,,,,,,,,,,,68,
"Jesse Winker","608385","2023",,,,,,,,,,,,,1,
"Cavan Biggio","624415","2023",,,,,,,,,,,,,76,19
"Myles Straw","664702","2023",5,30,1,1,23,1,1,7,2,71,44,98,92,89
"Nick Fortes","663743","2023",,,,,,,,,,,,,56,
"Geraldo Perdomo","672695","2023",3,1,1,1,38,1,1,3,1,79,91,96,46,81
"José Abreu","547989","2023",28,33,37,40,25,67,52,42,53,52,35,42,11,12
"Brett Baty","683146","2023",17,25,24,32,16,25,42,55,69,18,38,16,48,15
"Harold Castro","605612","2023",,,,,,,,,,,,,29,9
"Trevor Story","596115","2023",,,,,,,,,,,,,86,
"Matt Mervis","670223","2023",,,,,,,,,,,,,5,
"LaMonte Wade Jr.","664774","2023",86,64,68,65,94,58,56,29,43,73,96,74,20,13
"Mike Trout","545361","2023",95,81,92,92,94,62,95,89,95,15,88,26,96,85
"James Outman","681546","2023",49,17,32,47,67,63,72,22,44,6,86,2,88,94
"TJ Friedl","670770","2023",11,28,3,2,42,9,7,10,5,85,52,88,73,89
"Josh Naylor","647304","2023",71,94,79,63,73,61,48,44,53,94,28,79,16,88
"Eloy Jiménez","650391","2023",32,55,49,46,19,63,58,75,81,70,19,23,30,
"Andy Ibáñez","628451","2023",55,77,61,47,42,42,55,44,61,77,23,65,46,82
"Patrick Bailey","672275","2023",30,39,43,45,18,32,63,37,33,17,17,43,23,
"Seiya Suzuki","673548","2023",82,89,77,65,84,77,68,83,84,47,71,72,79,77
"Nick Ahmed","605113","2023",,,,,,,,,,,,,70,91
"Mickey Moniak","666160","2023",,,,,,,,,,,,,83,86
"Wander Franco","677551","2023",85,96,81,59,87,50,42,52,61,93,53,96,53,97
"Brandon Drury","592273","2023",39,51,63,65,17,73,70,60,77,25,5,20,39,89
"Taylor Ward","621493","2023",65,49,52,54,72,32,48,74,65,65,61,72,65,76
"Stuart Fairchild","656413","2023",,,,,,,,,,,,,92,77
"Jorge Polanco","593871","2023",78,49,85,87,62,54,88,33,49,27,76,50,55,6
"Carlos Pérez","542208","2023",,,,,,,,,,,,,5,
"Taylor Walls","670764","2023",7,1,1,7,25,2,8,11,7,24,89,39,73,7
"Jeimer Candelario","600869","2023",39,21,41,52,46,54,44,29,22,51,59,56,53,67
"Anthony Rendon","543685","2023",,,,,,,,,,,,,31,
"Jean Segura","516416","2023",,,,,,,,,,,,,52,14
"Santiago Espinal","669289","2023",,,,,,,,,,,,,38,14
"Miles Mastrobuoni","670156","2023",,,,,,,,,,,,,83,
"Travis Jankowski","608671","2023",,,,,,,,,,,,,89,
"Marcus Semien","543760","2023",61,66,53,44,70,68,30,33,26,91,64,90,84,98
"Chad Wallach","595453","2023",,,,,,,,,,,,,3,
"Michael Massey","686681","2023",42,60,56,52,21,42,43,36,41,54,9,66,49,83
